issueUID,projectName,raw images
DzSHqdPB76-39:27~1,1,"20191031_131250_R,20191031_131251_R,20191031_131252_R"
DzSHqdPB76-38:33~1,1,"20191031_131250_R,20191031_131251_R,20191031_131252_R"
DzSHqdPB76-41:26~1,1,"20191031_131322_R,20191031_131323_R,20191031_131324_R"
DzSHqdPB76-41:26~2,1,"20191031_131322_R,20191031_131323_R,20191031_131324_R"
DzSHqdPB76-47:10~1,1,"20191031_131457_R,20191031_131458_R,20191031_131459_R"
DzSHqdPB76-48:8~1,1,"20191031_131614_R,20191031_131615_R,20191031_131616_R"
DzSHqdPB76-48:8~2,1,"20191031_131614_R,20191031_131615_R,20191031_131616_R"
DzSHqdPB76-51:8~1,1,"20191031_131659_R,20191031_131660_R,20191031_131661_R"
DzSHqdPB76-44:6~1,1,"20191031_131609_R,20191031_131610_R,20191031_131611_R"
DzSHqdPB76-45:5~1,1,"20191031_131609_R,20191031_131610_R,20191031_131611_R"
DzSHqdPB76-44:5~1,1,"20191031_131609_R,20191031_131610_R,20191031_131611_R"
DzSHqdPB76-47:1~1,1,"20191031_131554_R,20191031_131555_R,20191031_131556_R"
DzSHqdPB76-42:2~2,1,"20191031_131518_R,20191031_131519_R,20191031_131520_R"
DzSHqdPB76-41:2~1,1,"20191031_131105_R,20191031_131106_R,20191031_131107_R"
DzSHqdPB76-41:3~1,1,"20191031_131105_R,20191031_131106_R,20191031_131107_R"
DzSHqdPB76-40:1~2,1,"20191031_131105_R,20191031_131106_R,20191031_131107_R"
DzSHqdPB76-40:1~3,1,"20191031_131105_R,20191031_131106_R,20191031_131107_R"
DzSHqdPB76-42:2~3,1,"20191031_131518_R,20191031_131519_R,20191031_131520_R"
DzSHqdPB76-43:1~1,1,"20191031_131557_R,20191031_131558_R,20191031_131559_R"
DzSHqdPB76-43:1~2,1,"20191031_131557_R,20191031_131558_R,20191031_131559_R"
DzSHqdPB76-44:1~1,1,"20191031_131554_R,20191031_131555_R,20191031_131556_R"
DzSHqdPB76-45:1~1,1,"20191031_131554_R,20191031_131555_R,20191031_131556_R"
DzSHqdPB76-47:1~2,1,"20191031_131554_R,20191031_131555_R,20191031_131556_R"
DzSHqdPB76-47:1~3,1,"20191031_131554_R,20191031_131555_R,20191031_131556_R"
DzSHqdPB76-53:2~1,1,"20191031_131548_R,20191031_131549_R,20191031_131550_R"
DzSHqdPB76-49:1~1,1,"20191031_131548_R,20191031_131549_R,20191031_131550_R"
DzSHqdPB76-50:2~1,1,"20191031_131548_R,20191031_131549_R,20191031_131550_R"
DzSHqdPB76-51:3~1,1,"20191031_131554_R,20191031_131555_R,20191031_131556_R"
DzSHqdPB76-46:1~1,1,"20191031_131600_R,20191031_131601_R,20191031_131602_R"
DzSHqdPB76-50:5~1,1,"20191031_131710_R,20191031_131711_R,20191031_131712_R"
DzSHqdPB76-49:4~1,1,"20191031_131710_R,20191031_131711_R,20191031_131712_R"
DzSHqdPB76-49:4~2,1,"20191031_131710_R,20191031_131711_R,20191031_131712_R"
DzSHqdPB76-49:4~3,1,"20191031_131710_R,20191031_131711_R,20191031_131712_R"
